County,AccCount,Population
Kidder,2,2450
Kimball,5,3618
Kimble,15,4362
King,10946,7042
King and Queen,3,7042
King George,53,26575
King William,30,16939
Kings,2312,2734196
Kinney,1,3767
Kiowa,3,12628
Kit Carson,8,7163
Kitsap,201,269805
Kittitas,97,47364
Klamath,827,67653
Klickitat,31,22107
Knox,1003,701283
Koochiching,6,12440
Kootenai,66,161505
Kosciusko,1,79344
Kossuth,2,14908
La Crosse,35,118230
La Paz,122,21098
La Plata,4,56310
La Porte,3,#N/A
La Salle,18,7531
Labette,1,19964
Lac qui Parle,3,6658
Lackawanna,101,210793
Laclede,19,35713
Lafayette,3516,119470
Lafourche,5,98115
LaGrange,14,39330
Lake,6194,1587
Lamar,205,145019
Lamb,1,13158
Lamoille,2,25300
Lampasas,1,21229
Lancaster,3079,966992
Lander,38,5575
Lane,1716,381171
Langlade,8,19268
Lapeer,26,88028
LaPorte,40,110007
Laramie,28,98976
Larimer,279,350518
Larue,4,14307
Las Animas,32,14503
LaSalle,44,109430
Lassen,77,30802
Latah,2,40134
Lauderdale,46,193529
Laurel,4,60669
Laurens,897,114319
Lavaca,1,20110
Lawrence,103,392734
Le Sueur,36,28494
Lea,18,69611
Leavenworth,4,81352
Lebanon,228,141314
Lee,2991,1237092
Leelanau,5,21764
Leflore,2,28919
Lehigh,408,368100
Lenawee,13,98266
Lenoir,13,55976
Leon,759,309772
Letcher,1,21899
Levy,37,40770
Lewis,144,68700
Lewis and Clark,4,68700
Lexington,4179,7136
Liberty,52,158707
Licking,149,175769
Limestone,171,119693
Lincoln,649,611041
Linn,1024,375031
Litchfield,95,181111
Little River,1,12326
Live Oak,1,12166
Livingston,319,314600
Llano,2,21646
Logan,51,229931
Long,3,18998
Lonoke,23,73657
Lorain,99,309461
Los Angeles,55222,10105518
Loudon,56,53054
Loudoun,1159,406850
Louisa,71,47947
Love,6,10134
Lowndes,129,185225
Lubbock,5,307412
Lucas,582,438544
Lumpkin,7,32955
Luna,22,23963
Lunenburg,17,12086
Luzerne,134,317646
Lycoming,82,113664
Lyman,1,3821
Lynchburg,28,82126
Lynchburg City,10,82126
Lyon,212,134663
Mackinac,4,10787
Macomb,1137,874759
Macon,111,210997
Macon-Bibb County,49,#N/A
Madera,516,157672
Madison,1808,1397473
Mahaska,2,22000
Mahnomen,3,5519
Mahoning,44,229642
Malheur,320,30725
Manassas,10,41641
Manassas Park,2,17307
Manatee,1218,394855
Manistee,2,24528
Manitowoc,19,79074
Marathon,46,135428
Maricopa,15732,4410824
Marin,1319,259666
Marinette,4,40434
Marion,11490,2062934
Mariposa,92,17471
Marlboro,193,26398
Marquette,6,81950
Marshall,80,366012
Martin,198,230661
Mason,95,156320
Massac,5,14080
Mathews,6,8802
Maury,28,94340
Maverick,2,58485
Mayes,13,41107
McClain,33,39985
Mccormick,62,9410
McCracken,2,65346
McCurtain,1,32703
McDonough,3,29955
McDowell,47,63730
McDuffie,30,21531
McHenry,98,314386
McIntosh,29,36740
McKean,13,40968
McKenzie,1,13632
McKinley,38,72290
McLean,27,191621
McLennan,79,254607
McLeod,30,35873
McMinn,42,53285
Meade,2,61155
Mecklenburg,27075,1124551
Mecosta,5,43545
Medina,68,230067
Meeker,35,23141
Meigs,10,35412
Menard,1,14427
Mendocino,321,87606
Menominee,2,27641
Merced,738,274765
Mercer,872,629867
Meriwether,24,21068
Merrimack,452,151132
Mesa,38,153207
Metcalfe,1,10030
Miami,85,175469
Miami-Dade,10809,2761581
Middlesex,5163,2617850
Midland,58,255787
Mifflin,39,46222
Millard,136,13006
Mille Lacs,28,26139
Miller,17,74614
Mills,6,19984
Milwaukee,2046,948201
Mineral,42,36546
Mingo,2,23785
Minidoka,5,20825
Minnehaha,3,192876
Mississippi,13,54575
Missoula,12,118791
